               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.044264,            0.036772,            0.021821,             0.64113,             0.58165,             0.61623,             0.34871,            0.038893,            0.020895,            0.011738,            0.008383,            0.008383,            0.008383
                  51,            0.043989,            0.036392,            0.021864,             0.64131,             0.58675,             0.61812,             0.34968,            0.038811,            0.020864,            0.011708,             0.00835,             0.00835,             0.00835
                  52,            0.044144,            0.036606,            0.021155,             0.64091,             0.58995,             0.61918,             0.35157,            0.038717,            0.020847,            0.011679,            0.008317,            0.008317,            0.008317
                  53,            0.044157,            0.036696,            0.021396,              0.6398,             0.59221,              0.6215,             0.35422,            0.038653,            0.020815,            0.011591,            0.008284,            0.008284,            0.008284
                  54,            0.043879,            0.036395,            0.021263,             0.64217,             0.59064,             0.62354,             0.35593,            0.038593,            0.020803,            0.011525,            0.008251,            0.008251,            0.008251
                  55,            0.043855,            0.036619,            0.021344,             0.64419,             0.59004,             0.62606,             0.35769,            0.038505,            0.020795,             0.01138,            0.008218,            0.008218,            0.008218
                  56,            0.043946,            0.036617,            0.021556,             0.64451,             0.58933,             0.62609,             0.35803,            0.038424,             0.02078,            0.011341,            0.008185,            0.008185,            0.008185
                  57,            0.043879,            0.036702,            0.020757,             0.63967,             0.59444,             0.62794,             0.35976,             0.03836,            0.020769,            0.011292,            0.008152,            0.008152,            0.008152
                  58,            0.043734,            0.036624,            0.020795,              0.6468,             0.59424,             0.62965,             0.36073,            0.038304,            0.020749,            0.011215,            0.008119,            0.008119,            0.008119
                  59,            0.043584,            0.036527,            0.020544,             0.64357,             0.59657,             0.63213,             0.36206,            0.038258,            0.020726,            0.011172,            0.008086,            0.008086,            0.008086
                  60,            0.043558,            0.036105,            0.020473,             0.64256,             0.59979,             0.63262,             0.36279,            0.038205,            0.020705,            0.011143,            0.008053,            0.008053,            0.008053
                  61,            0.043262,            0.036071,            0.020443,             0.64286,             0.60167,             0.63358,             0.36383,            0.038158,            0.020687,            0.011099,             0.00802,             0.00802,             0.00802
                  62,            0.043209,            0.036016,            0.020302,             0.64408,             0.60317,             0.63422,             0.36515,            0.038102,            0.020672,            0.011065,            0.007987,            0.007987,            0.007987
                  63,            0.043311,            0.036335,            0.020362,             0.64769,             0.60156,             0.63558,             0.36635,            0.038061,            0.020653,            0.011042,            0.007954,            0.007954,            0.007954
                  64,            0.043107,            0.036151,            0.019897,             0.64803,             0.60308,             0.63666,             0.36761,            0.038019,            0.020637,               0.011,            0.007921,            0.007921,            0.007921
                  65,             0.04315,             0.03593,            0.020411,             0.64804,             0.60561,             0.63756,             0.36831,            0.037984,            0.020629,            0.010962,            0.007888,            0.007888,            0.007888
                  66,            0.043208,            0.036233,             0.02037,             0.65246,             0.60428,             0.63869,             0.36909,            0.037955,            0.020609,            0.010932,            0.007855,            0.007855,            0.007855
                  67,            0.043034,            0.036021,            0.019993,             0.64839,              0.6073,             0.63863,             0.37008,            0.037917,            0.020596,            0.010912,            0.007822,            0.007822,            0.007822
                  68,            0.043158,            0.035987,            0.020001,             0.64823,             0.60725,             0.63934,             0.37088,            0.037881,            0.020585,            0.010891,            0.007789,            0.007789,            0.007789
                  69,            0.042931,            0.036102,            0.019646,             0.64905,             0.60778,             0.64001,             0.37173,            0.037854,            0.020565,            0.010876,            0.007756,            0.007756,            0.007756
                  70,            0.042697,            0.035807,            0.019553,             0.64997,             0.60854,             0.64054,             0.37271,            0.037829,             0.02055,            0.010855,            0.007723,            0.007723,            0.007723
                  71,            0.042886,            0.035728,            0.019623,              0.6498,             0.60871,              0.6422,             0.37353,            0.037796,            0.020539,            0.010837,             0.00769,             0.00769,             0.00769
                  72,            0.042682,             0.03581,             0.01947,             0.65096,             0.60893,             0.64342,             0.37471,            0.037767,            0.020528,            0.010817,            0.007657,            0.007657,            0.007657
                  73,             0.04252,            0.035908,            0.019616,             0.65231,             0.60793,             0.64409,              0.3753,             0.03774,            0.020512,            0.010789,            0.007624,            0.007624,            0.007624
                  74,            0.042658,            0.035988,            0.019438,             0.65498,             0.60767,             0.64485,              0.3759,            0.037716,            0.020498,            0.010773,            0.007591,            0.007591,            0.007591
                  75,            0.042496,             0.03606,            0.019522,             0.65737,             0.60878,             0.64473,             0.37609,            0.037695,            0.020485,            0.010751,            0.007558,            0.007558,            0.007558
                  76,            0.042555,            0.035804,            0.019311,             0.65358,             0.61019,              0.6453,             0.37668,            0.037675,            0.020473,            0.010729,            0.007525,            0.007525,            0.007525
                  77,            0.042264,            0.035638,            0.019104,             0.65526,             0.60939,             0.64577,             0.37738,            0.037653,            0.020462,            0.010714,            0.007492,            0.007492,            0.007492
                  78,            0.042356,             0.03539,            0.019104,             0.65295,             0.61189,             0.64662,             0.37774,            0.037632,            0.020449,            0.010697,            0.007459,            0.007459,            0.007459
                  79,             0.04259,             0.03559,            0.019304,             0.65741,             0.61203,             0.64756,             0.37826,            0.037615,             0.02044,            0.010681,            0.007426,            0.007426,            0.007426
                  80,            0.042325,            0.035755,            0.019017,             0.65726,             0.61246,             0.64805,             0.37869,            0.037591,             0.02043,            0.010664,            0.007393,            0.007393,            0.007393
                  81,             0.04233,            0.035685,              0.0189,             0.66377,             0.60929,             0.64896,             0.37942,            0.037566,            0.020417,            0.010644,             0.00736,             0.00736,             0.00736
                  82,            0.042033,            0.035509,            0.018935,             0.66453,             0.60955,             0.64949,             0.37948,             0.03754,            0.020408,            0.010618,            0.007327,            0.007327,            0.007327
                  83,            0.042292,            0.035572,            0.018445,               0.666,             0.60899,             0.65018,             0.37985,            0.037516,            0.020395,             0.01059,            0.007294,            0.007294,            0.007294
                  84,            0.042101,             0.03563,            0.018545,             0.66583,              0.6121,              0.6509,             0.38069,            0.037496,            0.020384,            0.010564,            0.007261,            0.007261,            0.007261
                  85,            0.041934,            0.035508,            0.018323,             0.66507,             0.61305,             0.65159,             0.38144,            0.037477,             0.02037,            0.010543,            0.007228,            0.007228,            0.007228
                  86,            0.041937,            0.035639,            0.018493,             0.66264,             0.61372,             0.65159,             0.38199,            0.037453,            0.020356,            0.010524,            0.007195,            0.007195,            0.007195
                  87,            0.041964,            0.035298,            0.018351,             0.66487,             0.61417,             0.65248,             0.38258,            0.037434,            0.020345,            0.010509,            0.007162,            0.007162,            0.007162
                  88,            0.041977,            0.035603,            0.018151,             0.66894,             0.61443,             0.65351,             0.38307,             0.03741,            0.020333,            0.010487,            0.007129,            0.007129,            0.007129
                  89,            0.041887,            0.035571,             0.01842,             0.66988,             0.61537,             0.65403,             0.38382,            0.037387,            0.020322,            0.010463,            0.007096,            0.007096,            0.007096
                  90,            0.041911,            0.035339,            0.018448,             0.67118,              0.6142,             0.65423,             0.38486,            0.037368,             0.02031,            0.010446,            0.007063,            0.007063,            0.007063
                  91,            0.041653,            0.035249,            0.017862,             0.67256,             0.61403,             0.65463,             0.38559,            0.037344,            0.020299,            0.010428,             0.00703,             0.00703,             0.00703
                  92,            0.041862,            0.035763,            0.017995,             0.67606,             0.61168,             0.65526,              0.3863,            0.037323,            0.020291,            0.010405,            0.006997,            0.006997,            0.006997
                  93,            0.041449,            0.035044,            0.018204,             0.67393,              0.6137,             0.65583,             0.38696,            0.037305,            0.020281,            0.010382,            0.006964,            0.006964,            0.006964
                  94,            0.041696,            0.035385,            0.018167,             0.67037,             0.61546,             0.65602,             0.38748,            0.037288,             0.02027,            0.010369,            0.006931,            0.006931,            0.006931
                  95,            0.041756,            0.035645,            0.018064,             0.67404,             0.61627,              0.6567,             0.38792,            0.037268,            0.020261,            0.010354,            0.006898,            0.006898,            0.006898
                  96,            0.041537,            0.035082,            0.017908,             0.67322,             0.61738,             0.65738,             0.38867,            0.037249,            0.020251,            0.010336,            0.006865,            0.006865,            0.006865
                  97,            0.041648,            0.035048,            0.017602,             0.67159,              0.6176,             0.65778,             0.38895,            0.037228,             0.02024,            0.010315,            0.006832,            0.006832,            0.006832
                  98,            0.041589,            0.035549,            0.017831,              0.6743,             0.61743,             0.65859,             0.38949,            0.037203,            0.020232,            0.010294,            0.006799,            0.006799,            0.006799
                  99,            0.041437,            0.035391,            0.017453,             0.67504,              0.6181,             0.65972,             0.39029,            0.037181,            0.020221,            0.010276,            0.006766,            0.006766,            0.006766
                 100,            0.041401,             0.03517,            0.017432,             0.67594,             0.61719,             0.66009,             0.39057,            0.037159,            0.020213,            0.010259,            0.006733,            0.006733,            0.006733
                 101,              0.0413,            0.035285,            0.017586,             0.67767,             0.61775,             0.66065,              0.3911,            0.037139,            0.020203,            0.010247,              0.0067,              0.0067,              0.0067
                 102,            0.041182,            0.035076,            0.017491,              0.6798,             0.61736,             0.66141,             0.39164,            0.037115,            0.020197,            0.010226,            0.006667,            0.006667,            0.006667
                 103,            0.041281,            0.034862,            0.017432,             0.68073,             0.61715,             0.66232,             0.39215,            0.037096,            0.020186,            0.010207,            0.006634,            0.006634,            0.006634
