               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,            0.044563,            0.036649,            0.021487,             0.63756,             0.58562,             0.61788,             0.35008,            0.038822,            0.020912,            0.011506,            0.008317,            0.008317,            0.008317
                  53,            0.044517,            0.036804,            0.021599,             0.64113,             0.58931,             0.62038,             0.35117,            0.038778,            0.020888,            0.011354,            0.008284,            0.008284,            0.008284
                  54,            0.044318,            0.036481,            0.021644,             0.63764,             0.59559,             0.62363,             0.35345,            0.038748,            0.020868,            0.011273,            0.008251,            0.008251,            0.008251
                  55,            0.044164,            0.036636,            0.021582,              0.6406,             0.59678,               0.625,             0.35463,            0.038676,            0.020852,            0.011213,            0.008218,            0.008218,            0.008218
                  56,            0.044308,            0.036679,            0.021719,             0.63661,             0.59907,             0.62474,             0.35496,            0.038628,            0.020829,            0.011177,            0.008185,            0.008185,            0.008185
                  57,            0.044128,            0.036865,              0.0211,             0.63795,             0.59783,             0.62589,             0.35627,            0.038557,            0.020815,             0.01113,            0.008152,            0.008152,            0.008152
                  58,            0.044019,            0.036695,            0.021059,             0.63802,             0.59822,             0.62584,             0.35762,            0.038511,              0.0208,            0.011076,            0.008119,            0.008119,            0.008119
                  59,            0.043936,            0.036589,            0.020629,             0.63848,             0.59789,             0.62701,             0.35833,            0.038467,            0.020771,            0.010988,            0.008086,            0.008086,            0.008086
                  60,            0.043861,            0.036154,            0.020827,              0.6354,             0.59872,             0.62729,             0.35945,            0.038436,            0.020749,            0.010934,            0.008053,            0.008053,            0.008053
                  61,            0.043638,            0.036146,            0.020572,             0.63498,             0.60097,             0.62889,              0.3611,            0.038403,            0.020734,            0.010901,             0.00802,             0.00802,             0.00802
                  62,            0.043575,            0.036055,             0.02052,             0.63614,             0.60199,             0.63087,             0.36233,             0.03835,             0.02071,            0.010858,            0.007987,            0.007987,            0.007987
                  63,            0.043602,            0.036448,            0.020645,             0.64057,             0.60206,             0.63205,             0.36288,            0.038313,            0.020688,            0.010799,            0.007954,            0.007954,            0.007954
                  64,             0.04341,            0.036171,            0.020229,             0.63908,             0.60229,             0.63327,             0.36356,            0.038285,            0.020674,            0.010764,            0.007921,            0.007921,            0.007921
                  65,             0.04338,            0.035899,            0.020656,              0.6443,             0.59964,             0.63372,             0.36493,            0.038245,            0.020658,            0.010751,            0.007888,            0.007888,            0.007888
                  66,            0.043507,            0.036188,            0.020344,             0.64401,             0.60096,             0.63447,             0.36545,            0.038216,            0.020642,            0.010732,            0.007855,            0.007855,            0.007855
                  67,            0.043356,             0.03606,            0.020148,             0.64615,             0.60032,             0.63539,             0.36565,            0.038182,            0.020631,            0.010719,            0.007822,            0.007822,            0.007822
                  68,             0.04349,            0.036069,            0.020013,             0.64383,             0.60204,             0.63598,             0.36692,            0.038148,            0.020619,            0.010702,            0.007789,            0.007789,            0.007789
                  69,            0.043287,            0.036099,            0.019977,             0.64489,             0.60315,             0.63681,             0.36801,            0.038112,            0.020599,            0.010669,            0.007756,            0.007756,            0.007756
                  70,            0.043125,            0.035942,            0.019875,              0.6448,             0.60535,              0.6374,             0.36917,            0.038079,             0.02059,            0.010633,            0.007723,            0.007723,            0.007723
                  71,            0.043201,            0.035787,            0.019905,             0.65003,             0.60404,             0.63872,             0.36986,            0.038052,            0.020581,            0.010603,             0.00769,             0.00769,             0.00769
                  72,            0.043059,            0.035903,            0.019858,             0.64844,             0.60508,             0.63926,             0.37081,            0.038022,             0.02057,            0.010566,            0.007657,            0.007657,            0.007657
                  73,              0.0428,            0.035926,            0.019655,             0.64799,             0.60732,             0.63979,             0.37146,            0.037997,            0.020561,            0.010543,            0.007624,            0.007624,            0.007624
                  74,            0.042988,            0.036093,            0.019792,             0.64973,             0.60749,             0.64057,             0.37225,            0.037968,            0.020552,             0.01052,            0.007591,            0.007591,            0.007591
                  75,            0.042762,            0.036124,            0.019748,             0.64971,             0.60829,             0.64162,             0.37275,             0.03794,            0.020543,             0.01049,            0.007558,            0.007558,            0.007558
                  76,            0.042745,            0.035806,             0.01943,             0.65194,             0.60676,             0.64181,              0.3738,            0.037916,             0.02053,            0.010465,            0.007525,            0.007525,            0.007525
                  77,            0.042759,            0.035761,            0.019368,             0.65246,             0.60717,             0.64273,             0.37448,            0.037896,            0.020521,            0.010441,            0.007492,            0.007492,            0.007492
                  78,              0.0426,            0.035418,            0.019269,             0.65289,             0.60758,             0.64348,             0.37506,            0.037872,             0.02051,            0.010411,            0.007459,            0.007459,            0.007459
                  79,            0.042878,            0.035644,            0.019555,              0.6532,             0.60706,              0.6442,             0.37556,            0.037847,            0.020502,            0.010391,            0.007426,            0.007426,            0.007426
                  80,            0.042558,            0.035753,            0.019019,             0.65405,              0.6082,             0.64509,             0.37585,            0.037826,             0.02049,            0.010373,            0.007393,            0.007393,            0.007393
                  81,            0.042618,            0.035676,             0.01912,             0.65728,             0.60745,             0.64618,             0.37672,            0.037806,            0.020478,            0.010354,             0.00736,             0.00736,             0.00736
                  82,            0.042365,             0.03548,             0.01893,             0.65741,             0.60796,             0.64714,             0.37758,            0.037787,            0.020463,            0.010336,            0.007327,            0.007327,            0.007327
                  83,             0.04265,            0.035587,            0.018639,             0.66059,             0.60704,             0.64824,             0.37804,            0.037769,            0.020449,            0.010315,            0.007294,            0.007294,            0.007294
                  84,            0.042385,            0.035642,            0.018871,             0.65926,             0.60727,             0.64849,             0.37872,            0.037751,            0.020439,              0.0103,            0.007261,            0.007261,            0.007261
                  85,            0.042294,            0.035592,            0.018539,             0.66282,             0.60826,             0.64949,             0.37933,             0.03773,            0.020427,            0.010279,            0.007228,            0.007228,            0.007228
                  86,            0.042274,            0.035684,              0.0188,             0.66286,             0.60916,             0.65114,             0.38002,             0.03771,            0.020414,            0.010261,            0.007195,            0.007195,            0.007195
                  87,            0.042241,            0.035339,            0.018447,             0.66123,             0.60997,             0.65158,             0.38103,            0.037689,            0.020403,            0.010244,            0.007162,            0.007162,            0.007162
                  88,            0.042301,            0.035683,            0.018307,             0.66199,             0.60973,             0.65153,             0.38151,            0.037665,            0.020389,            0.010222,            0.007129,            0.007129,            0.007129
                  89,            0.042168,            0.035587,            0.018487,             0.66314,              0.6097,             0.65231,              0.3823,            0.037648,            0.020378,            0.010209,            0.007096,            0.007096,            0.007096
                  90,            0.042227,            0.035332,            0.018347,             0.66625,              0.6092,             0.65304,             0.38272,            0.037632,            0.020363,            0.010194,            0.007063,            0.007063,            0.007063
                  91,            0.041959,             0.03538,            0.018214,             0.66825,             0.60872,             0.65359,             0.38321,            0.037616,            0.020354,            0.010177,             0.00703,             0.00703,             0.00703
                  92,            0.042122,            0.035719,            0.017796,             0.66963,              0.6098,             0.65452,             0.38378,              0.0376,            0.020342,            0.010161,            0.006997,            0.006997,            0.006997
                  93,            0.041712,            0.035087,            0.018423,             0.66721,             0.61153,             0.65534,             0.38471,            0.037584,            0.020331,            0.010146,            0.006964,            0.006964,            0.006964
                  94,            0.041965,            0.035345,            0.018162,             0.66907,             0.61105,             0.65595,             0.38524,            0.037565,            0.020321,            0.010135,            0.006931,            0.006931,            0.006931
                  95,            0.041911,             0.03572,            0.018097,             0.66922,             0.61107,             0.65587,             0.38569,            0.037545,            0.020311,             0.01012,            0.006898,            0.006898,            0.006898
                  96,            0.041819,            0.035211,            0.018145,             0.66961,             0.61194,              0.6565,             0.38598,            0.037526,            0.020301,            0.010113,            0.006865,            0.006865,            0.006865
                  97,            0.041835,            0.035072,            0.017807,             0.66969,             0.61228,              0.6574,             0.38652,            0.037505,            0.020291,            0.010099,            0.006832,            0.006832,            0.006832
                  98,            0.041822,            0.035595,            0.017867,             0.66885,              0.6128,             0.65786,             0.38715,            0.037486,             0.02028,            0.010084,            0.006799,            0.006799,            0.006799
                  99,            0.041699,            0.035394,            0.017456,             0.67055,             0.61208,             0.65879,             0.38755,            0.037468,            0.020268,             0.01007,            0.006766,            0.006766,            0.006766
                 100,            0.041606,             0.03513,            0.017517,             0.67263,             0.61085,             0.65959,             0.38831,            0.037448,            0.020251,            0.010054,            0.006733,            0.006733,            0.006733
                 101,             0.04141,            0.035226,            0.017428,              0.6734,             0.61111,             0.66021,             0.38892,            0.037427,            0.020239,            0.010039,              0.0067,              0.0067,              0.0067
                 102,            0.041372,            0.035031,            0.017482,             0.67315,             0.61311,             0.66056,             0.38968,            0.037407,            0.020227,            0.010026,            0.006667,            0.006667,            0.006667
                 103,            0.041549,            0.034934,            0.017785,             0.67187,             0.61394,             0.66126,             0.39026,            0.037389,            0.020214,            0.010015,            0.006634,            0.006634,            0.006634
                 104,             0.04142,            0.035307,            0.017629,             0.67293,             0.61322,             0.66193,             0.39081,             0.03737,            0.020203,            0.010005,            0.006601,            0.006601,            0.006601
                 105,            0.041398,            0.035383,            0.017173,             0.67153,             0.61431,             0.66275,             0.39164,            0.037355,            0.020195,           0.0099897,            0.006568,            0.006568,            0.006568
                 106,            0.041291,            0.035153,             0.01729,             0.67453,             0.61455,             0.66369,               0.392,            0.037337,            0.020182,           0.0099805,            0.006535,            0.006535,            0.006535
                 107,            0.041272,            0.034825,            0.017384,             0.67428,             0.61648,             0.66383,              0.3928,            0.037321,            0.020173,           0.0099692,            0.006502,            0.006502,            0.006502
                 108,            0.041351,             0.03531,            0.017278,             0.67511,             0.61779,             0.66448,             0.39327,            0.037301,            0.020161,           0.0099523,            0.006469,            0.006469,            0.006469
                 109,            0.041275,            0.034898,            0.017427,             0.67674,              0.6166,             0.66516,               0.394,            0.037285,             0.02015,           0.0099335,            0.006436,            0.006436,            0.006436
                 110,            0.041295,            0.034747,            0.017075,             0.67828,             0.61638,             0.66567,             0.39454,            0.037267,            0.020141,           0.0099139,            0.006403,            0.006403,            0.006403
                 111,            0.041109,             0.03503,            0.017327,             0.67739,              0.6175,             0.66662,             0.39495,            0.037248,             0.02013,            0.009899,             0.00637,             0.00637,             0.00637
